Millas_Por_Galon,Cilindros,Pais_Origen,Peso_En_Libras,Desplazamiento,Aceleracion,Nombre,Anyo,Caballo_De_Fuerza,Variables_Cualitativas
18.0,8,USA,3504,307.0,12.0,chevrolet chevelle malibu,1/01/1970,130.0,Medio
15.0,8,USA,3693,350.0,11.5,buick skylark 320,1/01/1970,165.0,Alto
18.0,8,USA,3436,318.0,11.0,plymouth satellite,1/01/1970,150.0,Alto
16.0,8,USA,3433,304.0,12.0,amc rebel sst,1/01/1970,150.0,Alto
17.0,8,USA,3449,302.0,10.5,ford torino,1/01/1970,140.0,Medio
15.0,8,USA,4341,429.0,10.0,ford galaxie 500,1/01/1970,198.0,Alto
14.0,8,USA,4354,454.0,9.0,chevrolet impala,1/01/1970,220.0,Alto
14.0,8,USA,4312,440.0,8.5,plymouth fury iii,1/01/1970,215.0,Alto
14.0,8,USA,4425,455.0,10.0,pontiac catalina,1/01/1970,225.0,Alto
15.0,8,USA,3850,390.0,8.5,amc ambassador dpl,1/01/1970,190.0,Alto
23.51,4,Europe,3090,133.0,17.5,citroen ds-21 pallas,1/01/1970,115.0,Medio
23.51,8,USA,4142,350.0,11.5,chevrolet chevelle concours (sw),1/01/1970,165.0,Alto
23.51,8,USA,4034,351.0,11.0,ford torino (sw),1/01/1970,153.0,Alto
23.51,8,USA,4166,383.0,10.5,plymouth satellite (sw),1/01/1970,175.0,Alto
23.51,8,USA,3850,360.0,11.0,amc rebel sst (sw),1/01/1970,175.0,Alto
15.0,8,USA,3563,383.0,10.0,dodge challenger se,1/01/1970,170.0,Alto
14.0,8,USA,3609,340.0,8.0,plymouth 'cuda 340,1/01/1970,160.0,Alto
23.51,8,USA,3353,302.0,8.0,ford mustang boss 302,1/01/1970,140.0,Medio
15.0,8,USA,3761,400.0,9.5,chevrolet monte carlo,1/01/1970,150.0,Alto
14.0,8,USA,3086,455.0,10.0,buick estate wagon (sw),1/01/1970,225.0,Alto
24.0,4,Japan,2372,113.0,15.0,toyota corona mark ii,1/01/1970,95.0,Medio
22.0,6,USA,2833,198.0,15.5,plymouth duster,1/01/1970,95.0,Medio
18.0,6,USA,2774,199.0,15.5,amc hornet,1/01/1970,97.0,Medio
21.0,6,USA,2587,200.0,16.0,ford maverick,1/01/1970,85.0,Medio
27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1970,88.0,Medio
26.0,4,Europe,1835,97.0,20.5,volkswagen 1131 deluxe sedan,1/01/1970,46.0,Bajo
25.0,4,Europe,2672,110.0,17.5,peugeot 504,1/01/1970,87.0,Medio
24.0,4,Europe,2430,107.0,14.5,audi 100 ls,1/01/1970,90.0,Medio
25.0,4,Europe,2375,104.0,17.5,saab 99e,1/01/1970,95.0,Medio
26.0,4,Europe,2234,121.0,12.5,bmw 2002,1/01/1970,113.0,Medio
21.0,6,USA,2648,199.0,15.0,amc gremlin,1/01/1970,90.0,Medio
10.0,8,USA,4615,360.0,14.0,ford f250,1/01/1970,215.0,Alto
10.0,8,USA,4376,307.0,15.0,chevy c20,1/01/1970,200.0,Alto
11.0,8,USA,4382,318.0,13.5,dodge d200,1/01/1970,210.0,Alto
9.0,8,USA,4732,304.0,18.5,hi 1200d,1/01/1970,193.0,Alto
27.0,4,Japan,2130,97.0,14.5,datsun pl510,1/01/1971,88.0,Medio
28.0,4,USA,2264,140.0,15.5,chevrolet vega 2300,1/01/1971,90.0,Medio
25.0,4,Japan,2228,113.0,14.0,toyota corona,1/01/1971,95.0,Medio
25.0,4,USA,2046,98.0,19.0,ford pinto,1/01/1971,105.08,Medio
23.51,4,Europe,1978,97.0,20.0,volkswagen super beetle 117,1/01/1971,48.0,Bajo
19.0,6,USA,2634,232.0,13.0,amc gremlin,1/01/1971,100.0,Medio
16.0,6,USA,3439,225.0,15.5,plymouth satellite custom,1/01/1971,105.0,Medio
17.0,6,USA,3329,250.0,15.5,chevrolet chevelle malibu,1/01/1971,100.0,Medio
19.0,6,USA,3302,250.0,15.5,ford torino 500,1/01/1971,88.0,Medio
18.0,6,USA,3288,232.0,15.5,amc matador,1/01/1971,100.0,Medio
14.0,8,USA,4209,350.0,12.0,chevrolet impala,1/01/1971,165.0,Alto
14.0,8,USA,4464,400.0,11.5,pontiac catalina brougham,1/01/1971,175.0,Alto
14.0,8,USA,4154,351.0,13.5,ford galaxie 500,1/01/1971,153.0,Alto
14.0,8,USA,4096,318.0,13.0,plymouth fury iii,1/01/1971,150.0,Alto
12.0,8,USA,4955,383.0,11.5,dodge monaco (sw),1/01/1971,180.0,Alto
13.0,8,USA,4746,400.0,12.0,ford country squire (sw),1/01/1971,170.0,Alto
13.0,8,USA,5140,400.0,12.0,pontiac safari (sw),1/01/1971,175.0,Alto
18.0,6,USA,2962,258.0,13.5,amc hornet sportabout (sw),1/01/1971,110.0,Medio
22.0,4,USA,2408,140.0,19.0,chevrolet vega (sw),1/01/1971,72.0,Medio
19.0,6,USA,3282,250.0,15.0,pontiac firebird,1/01/1971,100.0,Medio
18.0,6,USA,3139,250.0,14.5,ford mustang,1/01/1971,88.0,Medio
23.0,4,USA,2220,122.0,14.0,mercury capri 2000,1/01/1971,86.0,Medio
28.0,4,Europe,2123,116.0,14.0,opel 1900,1/01/1971,90.0,Medio
30.0,4,Europe,2074,79.0,19.5,peugeot 304,1/01/1971,70.0,Medio
30.0,4,Europe,2065,88.0,14.5,fiat 124b,1/01/1971,76.0,Medio
31.0,4,Japan,1773,71.0,19.0,toyota corolla 1200,1/01/1971,65.0,Bajo
35.0,4,Japan,1613,72.0,18.0,datsun 1200,1/01/1971,69.0,Medio
27.0,4,Europe,1834,97.0,19.0,volkswagen model 111,1/01/1971,60.0,Bajo
26.0,4,USA,1955,91.0,20.5,plymouth cricket,1/01/1971,70.0,Medio
24.0,4,Japan,2278,113.0,15.5,toyota corona hardtop,1/01/1972,95.0,Medio
25.0,4,USA,2126,97.5,17.0,dodge colt hardtop,1/01/1972,80.0,Medio
23.0,4,Europe,2254,97.0,23.5,volkswagen type 3,1/01/1972,54.0,Bajo
20.0,4,USA,2408,140.0,19.5,chevrolet vega,1/01/1972,90.0,Medio
21.0,4,USA,2226,122.0,16.5,ford pinto runabout,1/01/1972,86.0,Medio
13.0,8,USA,4274,350.0,12.0,chevrolet impala,1/01/1972,165.0,Alto
14.0,8,USA,4385,400.0,12.0,pontiac catalina,1/01/1972,175.0,Alto
15.0,8,USA,4135,318.0,13.5,plymouth fury iii,1/01/1972,150.0,Alto
14.0,8,USA,4129,351.0,13.0,ford galaxie 500,1/01/1972,153.0,Alto
17.0,8,USA,3672,304.0,11.5,amc ambassador sst,1/01/1972,150.0,Alto
11.0,8,USA,4633,429.0,11.0,mercury marquis,1/01/1972,208.0,Alto
13.0,8,USA,4502,350.0,13.5,buick lesabre custom,1/01/1972,155.0,Alto
12.0,8,USA,4456,350.0,13.5,oldsmobile delta 88 royale,1/01/1972,160.0,Alto
13.0,8,USA,4422,400.0,12.5,chrysler newport royal,1/01/1972,190.0,Alto
19.0,3,Japan,2330,70.0,13.5,mazda rx2 coupe,1/01/1972,97.0,Medio
15.0,8,USA,3892,304.0,12.5,amc matador (sw),1/01/1972,150.0,Alto
13.0,8,USA,4098,307.0,14.0,chevrolet chevelle concours (sw),1/01/1972,130.0,Medio
13.0,8,USA,4294,302.0,16.0,ford gran torino (sw),1/01/1972,140.0,Medio
14.0,8,USA,4077,318.0,14.0,plymouth satellite custom (sw),1/01/1972,150.0,Alto
18.0,4,Europe,2933,121.0,14.5,volvo 145e (sw),1/01/1972,112.0,Medio
22.0,4,Europe,2511,121.0,18.0,volkswagen 411 (sw),1/01/1972,76.0,Medio
21.0,4,Europe,2979,120.0,19.5,peugeot 504 (sw),1/01/1972,87.0,Medio
26.0,4,Europe,2189,96.0,18.0,renault 12 (sw),1/01/1972,69.0,Medio
22.0,4,USA,2395,122.0,16.0,ford pinto (sw),1/01/1972,86.0,Medio
28.0,4,Japan,2288,97.0,17.0,datsun 510 (sw),1/01/1972,92.0,Medio
23.0,4,Japan,2506,120.0,14.5,toyouta corona mark ii (sw),1/01/1972,97.0,Medio
28.0,4,USA,2164,98.0,15.0,dodge colt (sw),1/01/1972,80.0,Medio
27.0,4,Japan,2100,97.0,16.5,toyota corolla 1600 (sw),1/01/1972,88.0,Medio
13.0,8,USA,4100,350.0,13.0,buick century 350,1/01/1973,175.0,Alto
14.0,8,USA,3672,304.0,11.5,amc matador,1/01/1973,150.0,Alto
13.0,8,USA,3988,350.0,13.0,chevrolet malibu,1/01/1973,145.0,Alto
14.0,8,USA,4042,302.0,14.5,ford gran torino,1/01/1973,137.0,Medio
15.0,8,USA,3777,318.0,12.5,dodge coronet custom,1/01/1973,150.0,Alto
12.0,8,USA,4952,429.0,11.5,mercury marquis brougham,1/01/1973,198.0,Alto
13.0,8,USA,4464,400.0,12.0,chevrolet caprice classic,1/01/1973,150.0,Alto
13.0,8,USA,4363,351.0,13.0,ford ltd,1/01/1973,158.0,Alto
14.0,8,USA,4237,318.0,14.5,plymouth fury gran sedan,1/01/1973,150.0,Alto
13.0,8,USA,4735,440.0,11.0,chrysler new yorker brougham,1/01/1973,215.0,Alto
12.0,8,USA,4951,455.0,11.0,buick electra 225 custom,1/01/1973,225.0,Alto
13.0,8,USA,3821,360.0,11.0,amc ambassador brougham,1/01/1973,175.0,Alto
18.0,6,USA,3121,225.0,16.5,plymouth valiant,1/01/1973,105.0,Medio
16.0,6,USA,3278,250.0,18.0,chevrolet nova custom,1/01/1973,100.0,Medio
18.0,6,USA,2945,232.0,16.0,amc hornet,1/01/1973,100.0,Medio
18.0,6,USA,3021,250.0,16.5,ford maverick,1/01/1973,88.0,Medio
23.0,6,USA,2904,198.0,16.0,plymouth duster,1/01/1973,95.0,Medio
26.0,4,Europe,1950,97.0,21.0,volkswagen super beetle,1/01/1973,46.0,Bajo
11.0,8,USA,4997,400.0,14.0,chevrolet impala,1/01/1973,150.0,Alto
12.0,8,USA,4906,400.0,12.5,ford country,1/01/1973,167.0,Alto
13.0,8,USA,4654,360.0,13.0,plymouth custom suburb,1/01/1973,170.0,Alto
12.0,8,USA,4499,350.0,12.5,oldsmobile vista cruiser,1/01/1973,180.0,Alto
18.0,6,USA,2789,232.0,15.0,amc gremlin,1/01/1973,100.0,Medio
20.0,4,Japan,2279,97.0,19.0,toyota carina,1/01/1973,88.0,Medio
21.0,4,USA,2401,140.0,19.5,chevrolet vega,1/01/1973,72.0,Medio
22.0,4,Japan,2379,108.0,16.5,datsun 610,1/01/1973,94.0,Medio
18.0,3,Japan,2124,70.0,13.5,maxda rx3,1/01/1973,90.0,Medio
19.0,4,USA,2310,122.0,18.5,ford pinto,1/01/1973,85.0,Medio
21.0,6,USA,2472,155.0,14.0,mercury capri v6,1/01/1973,107.0,Medio
26.0,4,Europe,2265,98.0,15.5,fiat 124 sport coupe,1/01/1973,90.0,Medio
15.0,8,USA,4082,350.0,13.0,chevrolet monte carlo s,1/01/1973,145.0,Alto
16.0,8,USA,4278,400.0,9.5,pontiac grand prix,1/01/1973,230.0,Alto
29.0,4,Europe,1867,68.0,19.5,fiat 128,1/01/1973,49.0,Bajo
24.0,4,Europe,2158,116.0,15.5,opel manta,1/01/1973,75.0,Medio
20.0,4,Europe,2582,114.0,14.0,audi 100ls,1/01/1973,91.0,Medio
19.0,4,Europe,2868,121.0,15.5,volvo 144ea,1/01/1973,112.0,Medio
15.0,8,USA,3399,318.0,11.0,dodge dart custom,1/01/1973,150.0,Alto
24.0,4,Europe,2660,121.0,14.0,saab 99le,1/01/1973,110.0,Medio
20.0,6,Japan,2807,156.0,13.5,toyota mark ii,1/01/1973,122.0,Medio
11.0,8,USA,3664,350.0,11.0,oldsmobile omega,1/01/1973,180.0,Alto
20.0,6,USA,3102,198.0,16.5,plymouth duster,1/01/1974,95.0,Medio
21.0,6,USA,2875,200.0,17.0,ford maverick,1/01/1974,105.08,Medio
19.0,6,USA,2901,232.0,16.0,amc hornet,1/01/1974,100.0,Medio
15.0,6,USA,3336,250.0,17.0,chevrolet nova,1/01/1974,100.0,Medio
31.0,4,Japan,1950,79.0,19.0,datsun b210,1/01/1974,67.0,Medio
26.0,4,USA,2451,122.0,16.5,ford pinto,1/01/1974,80.0,Medio
32.0,4,Japan,1836,71.0,21.0,toyota corolla 1200,1/01/1974,65.0,Bajo
25.0,4,USA,2542,140.0,17.0,chevrolet vega,1/01/1974,75.0,Medio
16.0,6,USA,3781,250.0,17.0,chevrolet chevelle malibu classic,1/01/1974,100.0,Medio
16.0,6,USA,3632,258.0,18.0,amc matador,1/01/1974,110.0,Medio
18.0,6,USA,3613,225.0,16.5,plymouth satellite sebring,1/01/1974,105.0,Medio
16.0,8,USA,4141,302.0,14.0,ford gran torino,1/01/1974,140.0,Medio
13.0,8,USA,4699,350.0,14.5,buick century luxus (sw),1/01/1974,150.0,Alto
14.0,8,USA,4457,318.0,13.5,dodge coronet custom (sw),1/01/1974,150.0,Alto
14.0,8,USA,4638,302.0,16.0,ford gran torino (sw),1/01/1974,140.0,Medio
14.0,8,USA,4257,304.0,15.5,amc matador (sw),1/01/1974,150.0,Alto
29.0,4,Europe,2219,98.0,16.5,audi fox,1/01/1974,83.0,Medio
26.0,4,Europe,1963,79.0,15.5,volkswagen dasher,1/01/1974,67.0,Medio
26.0,4,Europe,2300,97.0,14.5,opel manta,1/01/1974,78.0,Medio
31.0,4,Japan,1649,76.0,16.5,toyota corona,1/01/1974,52.0,Bajo
32.0,4,Japan,2003,83.0,19.0,datsun 710,1/01/1974,61.0,Bajo
28.0,4,USA,2125,90.0,14.5,dodge colt,1/01/1974,75.0,Medio
24.0,4,Europe,2108,90.0,15.5,fiat 128,1/01/1974,75.0,Medio
26.0,4,Europe,2246,116.0,14.0,fiat 124 tc,1/01/1974,75.0,Medio
24.0,4,Japan,2489,120.0,15.0,honda civic,1/01/1974,97.0,Medio
26.0,4,Japan,2391,108.0,15.5,subaru,1/01/1974,93.0,Medio
31.0,4,Europe,2000,79.0,16.0,fiat x1.9,1/01/1974,67.0,Medio
19.0,6,USA,3264,225.0,16.0,plymouth valiant custom,1/01/1975,95.0,Medio
18.0,6,USA,3459,250.0,16.0,chevrolet nova,1/01/1975,105.0,Medio
15.0,6,USA,3432,250.0,21.0,mercury monarch,1/01/1975,72.0,Medio
15.0,6,USA,3158,250.0,19.5,ford maverick,1/01/1975,72.0,Medio
16.0,8,USA,4668,400.0,11.5,pontiac catalina,1/01/1975,170.0,Alto
15.0,8,USA,4440,350.0,14.0,chevrolet bel air,1/01/1975,145.0,Alto
16.0,8,USA,4498,318.0,14.5,plymouth grand fury,1/01/1975,150.0,Alto
14.0,8,USA,4657,351.0,13.5,ford ltd,1/01/1975,148.0,Alto
17.0,6,USA,3907,231.0,21.0,buick century,1/01/1975,110.0,Medio
16.0,6,USA,3897,250.0,18.5,chevroelt chevelle malibu,1/01/1975,105.0,Medio
15.0,6,USA,3730,258.0,19.0,amc matador,1/01/1975,110.0,Medio
18.0,6,USA,3785,225.0,19.0,plymouth fury,1/01/1975,95.0,Medio
21.0,6,USA,3039,231.0,15.0,buick skyhawk,1/01/1975,110.0,Medio
20.0,8,USA,3221,262.0,13.5,chevrolet monza 2+2,1/01/1975,110.0,Medio
13.0,8,USA,3169,302.0,12.0,ford mustang ii,1/01/1975,129.0,Medio
29.0,4,Japan,2171,97.0,16.0,toyota corolla,1/01/1975,75.0,Medio
23.0,4,USA,2639,140.0,17.0,ford pinto,1/01/1975,83.0,Medio
20.0,6,USA,2914,232.0,16.0,amc gremlin,1/01/1975,100.0,Medio
23.0,4,USA,2592,140.0,18.5,pontiac astro,1/01/1975,78.0,Medio
24.0,4,Japan,2702,134.0,13.5,toyota corona,1/01/1975,96.0,Medio
25.0,4,Europe,2223,90.0,16.5,volkswagen dasher,1/01/1975,71.0,Medio
24.0,4,Japan,2545,119.0,17.0,datsun 710,1/01/1975,97.0,Medio
18.0,6,USA,2984,171.0,14.5,ford pinto,1/01/1975,97.0,Medio
29.0,4,Europe,1937,90.0,14.0,volkswagen rabbit,1/01/1975,70.0,Medio
19.0,6,USA,3211,232.0,17.0,amc pacer,1/01/1975,90.0,Medio
23.0,4,Europe,2694,115.0,15.0,audi 100ls,1/01/1975,95.0,Medio
23.0,4,Europe,2957,120.0,17.0,peugeot 504,1/01/1975,88.0,Medio
22.0,4,Europe,2945,121.0,14.5,volvo 244dl,1/01/1975,98.0,Medio
25.0,4,Europe,2671,121.0,13.5,saab 99le,1/01/1975,115.0,Medio
33.0,4,Japan,1795,91.0,17.5,honda civic cvcc,1/01/1975,53.0,Bajo
28.0,4,Europe,2464,107.0,15.5,fiat 131,1/01/1976,86.0,Medio
25.0,4,Europe,2220,116.0,16.9,opel 1900,1/01/1976,81.0,Medio
25.0,4,USA,2572,140.0,14.9,capri ii,1/01/1976,92.0,Medio
26.0,4,USA,2255,98.0,17.7,dodge colt,1/01/1976,79.0,Medio
27.0,4,Europe,2202,101.0,15.3,renault 12tl,1/01/1976,83.0,Medio
17.5,8,USA,4215,305.0,13.0,chevrolet chevelle malibu classic,1/01/1976,140.0,Medio
16.0,8,USA,4190,318.0,13.0,dodge coronet brougham,1/01/1976,150.0,Alto
15.5,8,USA,3962,304.0,13.9,amc matador,1/01/1976,120.0,Medio
14.5,8,USA,4215,351.0,12.8,ford gran torino,1/01/1976,152.0,Alto
22.0,6,USA,3233,225.0,15.4,plymouth valiant,1/01/1976,100.0,Medio
22.0,6,USA,3353,250.0,14.5,chevrolet nova,1/01/1976,105.0,Medio
24.0,6,USA,3012,200.0,17.6,ford maverick,1/01/1976,81.0,Medio
22.5,6,USA,3085,232.0,17.6,amc hornet,1/01/1976,90.0,Medio
29.0,4,USA,2035,85.0,22.2,chevrolet chevette,1/01/1976,52.0,Bajo
